user: 3 feedback_type: ↑ballad emotion: cheerful,anxious,sweet,sad,
predict_value, song_id, pop, ballad, rock
(0.0032381222053909009, 57112L),0.0761,0.10593,0.09576
(0.0028416887560971764, 4429L),0.07635,0.11819,0.08163
(0.002335441332151824, 38694L),0.08234,0.05523,0.11155
(0.0012212483861962636, 41392L),0.09023,0.0562,0.11418
(0.0012076648581130587, 42732L),0.09812,0.05072,0.108
(0.00094319220377893191, 26559L),0.09492,0.06933,0.10306
(0.00072605054374255684, 23655L),0.08978,0.0554,0.11581
(0.00065479393009026075, 54592L),0.07166,0.10426,0.09564
(0.00064779195215980238, 61000L),0.07695,0.08973,0.09816
(0.00060007893418530765, 53417L),0.078,0.04878,0.11471

