user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(-0.0063905877691316582, 38694L),0.12246,0.0756,0.13861
(-0.007316317920989834, 3745L),0.10305,0.07174,0.13633
(-0.0076888562045766325, 35092L),0.12392,0.07115,0.14138
(-0.0078471476808531677, 46302L),0.10964,0.07482,0.13854
(-0.0079472155500526949, 28794L),0.10719,0.07463,0.13646
(-0.0081893330051816711, 60309L),0.10416,0.07447,0.13947
(-0.0082023904611221009, 42732L),0.13469,0.07185,0.13549
(-0.0082998719085814205, 3736L),0.10753,0.06623,0.13726
(-0.0083342487200529104, 53417L),0.11451,0.06609,0.13806
(-0.0084490207161149206, 49044L),0.11252,0.07391,0.14082

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(-0.0063905877701242132, 38694L),0.12246,0.0756,0.13861
(-0.0073163179213159213, 3745L),0.10305,0.07174,0.13633
(-0.0076888562054910686, 35092L),0.12392,0.07115,0.14138
(-0.0078471476813927743, 46302L),0.10964,0.07482,0.13854
(-0.0079472155505972801, 28794L),0.10719,0.07463,0.13646
(-0.0081893330057092231, 60309L),0.10416,0.07447,0.13947
(-0.008202390462285547, 42732L),0.13469,0.07185,0.13549
(-0.0082998719091272478, 3736L),0.10753,0.06623,0.13726
(-0.0083342487211084948, 53417L),0.11451,0.06609,0.13806
(-0.0084490207166205544, 49044L),0.11252,0.07391,0.14082

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(-0.0073163179213159221, 3745L),0.10305,0.07174,0.13633
(-0.0076888562054910686, 35092L),0.12392,0.07115,0.14138
(-0.0078471476813927778, 46302L),0.10964,0.07482,0.13854
(-0.0079472155505972784, 28794L),0.10719,0.07463,0.13646
(-0.0081893330057092213, 60309L),0.10416,0.07447,0.13947
(-0.008202390462285547, 42732L),0.13469,0.07185,0.13549
(-0.0082998719091272512, 3736L),0.10753,0.06623,0.13726
(-0.0083342487211084948, 53417L),0.11451,0.06609,0.13806
(-0.0084490207166205492, 49044L),0.11252,0.07391,0.14082
(-0.0085240744744747351, 41392L),0.1307,0.07794,0.14185

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(-0.0076888562054910677, 35092L),0.12392,0.07115,0.14138
(-0.0078471476813927743, 46302L),0.10964,0.07482,0.13854
(-0.0079472155505972784, 28794L),0.10719,0.07463,0.13646
(-0.0081893330057092231, 60309L),0.10416,0.07447,0.13947
(-0.0082023904622855505, 42732L),0.13469,0.07185,0.13549
(-0.0082998719091272512, 3736L),0.10753,0.06623,0.13726
(-0.0083342487211084948, 53417L),0.11451,0.06609,0.13806
(-0.0084490207166205492, 49044L),0.11252,0.07391,0.14082
(-0.0085240744744747351, 41392L),0.1307,0.07794,0.14185
(-0.0085265527080297665, 23655L),0.12938,0.07639,0.14415

user: 5 feedback_type: ↑ballad emotion: 
predict_value, song_id, pop, ballad, rock
(0.0020934468587236492, 33733L),0.08418,0.18251,0.06406
(0.00073555592251375954, 20378L),0.08472,0.1848,0.06536
(0.0001966395294260119, 27709L),0.09617,0.18444,0.06878
(-0.00040200504677996313, 56550L),0.09193,0.17961,0.07075
(-0.00075935184297120685, 11446L),0.09283,0.18631,0.07208
(-0.00080655154433399365, 9363L),0.09896,0.18624,0.07058
(-0.00096631098910048268, 55922L),0.09188,0.1912,0.06436
(-0.0011505249071578454, 18960L),0.08495,0.18751,0.06217
(-0.001291306991297066, 6567L),0.10345,0.18481,0.0716
(-0.0013365487305482208, 59403L),0.103,0.18935,0.06958

user: 5 feedback_type: ↑pop emotion: 
predict_value, song_id, pop, ballad, rock
(0.0073298231761714681, 46302L),0.10964,0.07482,0.13854
(0.0071274941963005434, 15054L),0.12743,0.06435,0.14121
(0.0069003581515861244, 49044L),0.11252,0.07391,0.14082
(0.0067534371975065304, 37953L),0.10986,0.07384,0.1362
(0.0066221623796993059, 42732L),0.13469,0.07185,0.13549
(0.0063175345217485069, 48612L),0.12197,0.07287,0.14225
(0.0061096194080080893, 41392L),0.1307,0.07794,0.14185
(0.0060254963860848195, 46583L),0.10976,0.07322,0.13902
(0.0058359794266806368, 60309L),0.10416,0.07447,0.13947
(0.0057956250787988498, 25680L),0.12047,0.0728,0.13915

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.028464496278498522, 21574L),0.14621,0.08842,0.1239
(0.028147739710227132, 59693L),0.13448,0.0983,0.12781
(0.027268724680187269, 42732L),0.13469,0.07185,0.13549
(0.026528616077394075, 1018L),0.13987,0.07176,0.13782
(0.026386945951898926, 42749L),0.1303,0.07656,0.13788
(0.026353648037068758, 15054L),0.12743,0.06435,0.14121
(0.025716987361003189, 50437L),0.14713,0.08208,0.12948
(0.025512126047579891, 45558L),0.14043,0.08625,0.13348
(0.025385113172262417, 23173L),0.14587,0.08213,0.12832
(0.025182570976110652, 32629L),0.13458,0.09163,0.13733

user: 5 feedback_type: ↑pop emotion: 
predict_value, song_id, pop, ballad, rock
(0.050640138590271715, 53952L),0.09635,0.18764,0.06285
(0.049534199057462924, 25473L),0.10388,0.16829,0.06795
(0.049264728348214458, 41126L),0.10272,0.18224,0.06394
(0.048125325741046512, 24929L),0.11518,0.15907,0.07399
(0.04810512721789436, 62889L),0.09448,0.1828,0.06174
(0.048100416775893072, 44462L),0.1087,0.17922,0.06368
(0.048092687568745733, 25480L),0.11454,0.16617,0.07167
(0.047803221730810204, 9363L),0.09896,0.18624,0.07058
(0.04767549157964087, 36167L),0.10987,0.16731,0.06647
(0.04766596998639324, 44660L),0.09971,0.1887,0.07366

user: 5 feedback_type: ↑pop emotion: 
predict_value, song_id, pop, ballad, rock
(0.039160494707961763, 46315L),0.13565,0.07064,0.14347
(0.038851859060991215, 15054L),0.12743,0.06435,0.14121
(0.038670833669604394, 37959L),0.13033,0.06355,0.14153
(0.038078284253512611, 21549L),0.1423,0.08966,0.1372
(0.038006127963235548, 31139L),0.14056,0.07359,0.14433
(0.037860422282993897, 62392L),0.1282,0.06705,0.14309
(0.037693387960733307, 42938L),0.12161,0.07099,0.1412
(0.037690964802532007, 33344L),0.13537,0.08541,0.13997
(0.037642676507216907, 26206L),0.14665,0.07456,0.13844
(0.037619625495120636, 42732L),0.13469,0.07185,0.13549

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.037334133492692448, 42938L),0.12161,0.07099,0.1412
(0.036944338030309241, 37956L),0.12818,0.07505,0.14262
(0.036572122320612799, 15054L),0.12743,0.06435,0.14121
(0.03578394102527558, 1403L),0.12165,0.07208,0.14188
(0.035658688275969699, 31139L),0.14056,0.07359,0.14433
(0.035637959521416608, 39501L),0.1298,0.0768,0.13502
(0.035352918063045857, 25121L),0.12672,0.07636,0.1371
(0.035139667669690115, 37961L),0.13354,0.07979,0.13749
(0.035065078639623465, 22335L),0.11858,0.07237,0.1382
(0.034680150917487655, 14104L),0.10745,0.07533,0.13714

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.053229711140058297, 31139L),0.14056,0.07359,0.14433
(0.052719334920011587, 26206L),0.14665,0.07456,0.13844
(0.052616218537891078, 61544L),0.12902,0.0997,0.13122
(0.052569673184591423, 5885L),0.13953,0.12416,0.09882
(0.052539488983978311, 9311L),0.12782,0.12212,0.11316
(0.052429576176577453, 19834L),0.13318,0.10167,0.11535
(0.05217328263119294, 58920L),0.14906,0.08091,0.13689
(0.052052983153322956, 34050L),0.14974,0.09197,0.12524
(0.051989678141689206, 62001L),0.14333,0.08122,0.13656
(0.051880533007182553, 57332L),0.13456,0.07577,0.14255

user: 5 feedback_type: ↓rock emotion: 
predict_value, song_id, pop, ballad, rock
(0.042685276690116118, 37964L),0.12839,0.075,0.13898
(0.042581940015672087, 13519L),0.13695,0.08385,0.13536
(0.041871266639388359, 24435L),0.11749,0.07678,0.13732
(0.041743669757207523, 11733L),0.12536,0.07126,0.14602
(0.041739212360959482, 41392L),0.1307,0.07794,0.14185
(0.041463734981068437, 7333L),0.12481,0.07852,0.13903
(0.041410651908098624, 26245L),0.12108,0.07809,0.13691
(0.041338965959230617, 25121L),0.12672,0.07636,0.1371
(0.041338879778328286, 29312L),0.12458,0.08196,0.12914
